id,title,poster,overview,release_date
39324,"Dragon Ball Z: The History of Trunks",https://image.tmdb.org/t/p/w1280/AfUkiiR0UKeiPXPgTx9bRO4snTB.jpg,"It has been thirteen years since the Androids began their killing rampage and Son Gohan is the only person fighting back. He takes Bulma's son Trunks as a student and even gives his own life to save Trunks's. Now Trunks must figure out a way to change this apocalyptic future",1993-02-24
192134,"Dom Hemingway",https://image.tmdb.org/t/p/w1280/z4yQiTC3EfwVPzVuBqjOELtfo3f.jpg,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",2013-11-15
37453,"Molly: An American Girl on the Home Front",https://image.tmdb.org/t/p/w1280/2pnnRadfln0sIRUM8LlEg2aBfe7.jpg,"Molly is a girl living in the year 1944 and WWII has brought many changes to Molly's life. An English girl comes to live with Molly's family to escape the bombings. They slowly become good friends.",2006-11-26
485296,"Redbad",https://image.tmdb.org/t/p/w1280/bAT5ZoAWx8RYeEO6T67lWwFetuf.jpg,"In the year of 754 AD, during a time of epic battles and bloodshed, the legend of the pagan warrior king, Rebad, is born, but so is a new weapon against his people: Christianity. Redbad must ultimately unite a Viking army powerful enough to defeat the seemingly invincible Franks.",2018-06-28
1870,"Fantomas Unleashed",https://image.tmdb.org/t/p/w1280/gSgf9LrNG0G8kZSMU9rhu2gYOJy.jpg,"In the second episode of the trilogy Fantômas kidnaps distinguished scientist professor Marchand with the aim to develop a super weapon that will enable him to menace the world. Fantômas is also planning to abduct a second scientist, professor Lefebvre.",1965-12-07
30698,"The Five People You Meet In Heaven",https://image.tmdb.org/t/p/w1280/zA9bozeP1hfrpEEmK1bKFivhofF.jpg,"On his 83rd birthday, Eddie (Voight), a war vet and a maintenance worker at the Ruby Pier amusement park, dies while trying to save a girl who is sitting under a falling ride. When he awakens in the afterlife, he encounters five people with ties to his corporeal existence who help him understand the meaning of his life.",2004-12-05
33602,"Temple Grandin",https://image.tmdb.org/t/p/w1280/eEdXRImgDyCdeYdz3jnJxqovC2k.jpg,"A biopic of Temple Grandin, an autistic woman who has become one of top scientists in humane livestock handling.",2010-02-06
82424,"Small Fry",https://image.tmdb.org/t/p/w1280/4deuIpnrXuzMAggQk19Jk81CST.jpg,"A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.",2011-11-23
49526,"Premium Rush",https://image.tmdb.org/t/p/w1280/khfyc8Yeub0JvD9kk29vqYsPsIi.jpg,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",2012-08-24
9805,"Dreamship Surprise - Period 1",https://image.tmdb.org/t/p/w1280/w4EZC3GeNwLNo5KNkj4QLOWyGII.jpg,"Hundreds of years after humans have settled on Mars, Regulator Rogul and Lord Jens Maul, lead a force of Martians to Earth in order to conquer the planet. Queen Metaphor looks to the gay heroes aboard the spaceship Surprise -- Captain Kork, Mr. Spuck, and first engineer Schrotty",2004-07-14
9451,"Election",https://image.tmdb.org/t/p/w1280/4RHyF1v1n4iodWzHG4m7XkGcJVB.jpg,"A high school teacher's personal life becomes complicated as he works with students during the school elections.",1999-04-23
16314,"3 Ninjas",https://image.tmdb.org/t/p/w1280/fhGyCrKke6KImUQtprqsICYHnkX.jpg,"Each year, three brothers Samuel, Jeffrey and Michael Douglas visits their Japanese grandfather, Mori Shintaro whom the boys affectionately refer to as Grandpa, for the summer. Mori is a highly skilled in the fields of Martial arts and Ninjutsu, and for years he has trained the boys in his techniques. After an organized crime ring proves to be too much for the FBI, it's time for the 3 brother NINJAS! To use their martial arts skills, they team up to battle the crime ring and outwit some very persistent kidnappers!",1992-08-07
14813,"Mickey's Christmas Carol",https://image.tmdb.org/t/p/w1280/b5bOnImybMdWNA415PXFjMWlsi7.jpg,"It is an adaptation of the Charles Dickens classic A Christmas Carol, featuring Scrooge McDuck as his namesake and inspiration Ebenezer Scrooge and Mickey Mouse as Bob Cratchit. This film was based on a 1972 audio musical entitled Disney's A Christmas Carol. It is a twenty-four minute animated short film produced by Walt Disney Productions as an accompaniment to a re-release of The Rescuers.",1983-10-19
395993,"Stronger",https://image.tmdb.org/t/p/w1280/2TDroy5YKKCthnXnAERjjGnusKw.jpg,"A victim of the Boston Marathon bombing in 2013 helps the police track down the killers while struggling to recover from devastating trauma.",2017-09-22
259954,"5 to 7",https://image.tmdb.org/t/p/w1280/vnR9n305GAqlA9VhE4VYIDCHVcZ.jpg,"A young writer begins an affair with an older woman from France whose open marriage to a diplomat dictates that they can meet only between the hours of 5 p.m. to 7 p.m.",2014-04-19
3121,"Nashville",https://image.tmdb.org/t/p/w1280/hvSj4duLGAeXusBMKF7w7BKKsq5.jpg,"This movie tells the intersecting stories of various people connected to the music business in Nashville. Barbara Jean is the reigning queen of Nashville but is near collapse. Linnea and Delbert Reese have a shaky marriage and 2 deaf children. Opal is a British journalist touring the area. These and other stories come together in a dramatic climax.",1975-06-11
425972,"Cargo",https://image.tmdb.org/t/p/w1280/cdPSUck4tBRvRu6DFk6XciDrssn.jpg,"After being infected in the wake of a violent pandemic and with only 48 hours to live, a father struggles to find a new home for his baby daughter.",2017-10-06
705,"All About Eve",https://image.tmdb.org/t/p/w1280/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",1950-11-09
846,"The X Files",https://image.tmdb.org/t/p/w1280/cpvwMPMkvsZLzThJTcnh8wcNPMH.jpg,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.",1998-06-19
519238,"Murder Me, Monster",https://image.tmdb.org/t/p/w1280/o6oaiuJpfLDaGgu5TDW10dPxL0x.jpg,"A rural police officer investigates the bizarre case of a headless woman's body. The prime suspect blames the crime on the appearance of a legendary monster.",2019-04-17
463858,"The Freshmen",https://image.tmdb.org/t/p/w1280/7WmpxcBe1kfoWLg0CqTzMILA2LN.jpg,"Antoine is about to start his first year of medical school… for the third time. Benjamin, just out of high school, will make his first try. He soon realizes it's not exactly a walk in the park. In a fiercely competitive environment, with nights dedicated to hard studying rather than hard partying, the two freshmen will have to adapt and find a middle ground between despair for the present and hope for the future.",2018-09-12
10518,"Marathon Man",https://image.tmdb.org/t/p/w1280/uPNgubSiri2yvBQRPtP77ViYjN.jpg,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.",1976-10-06
6972,"Australia",https://image.tmdb.org/t/p/w1280/lgnwsUpqmEz40guXX92ACETptpB.jpg,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin by Japanese forces firsthand.",2008-11-18
10279,"Summer of Sam",https://image.tmdb.org/t/p/w1280/fERQTWukzEsufDh5Yu4a0NnKAig.jpg,"Spike Lee's take on the 'Son of Sam' murders in New York City during the summer of 1977 centering on the residents of an Italian-American South Bronx neighborhood who live in fear and distrust of one another.",1999-07-02
15301,"Twilight Zone: The Movie",https://image.tmdb.org/t/p/w1280/hLcKs6evdDddVrvbYUCZ9vtKWfT.jpg,"Four directors collaborated to remake four episodes of the popular television series 'The Twilight Zone' for this movie. The episodes are updated slightly and in color (the television show was in black-and-white), but very true to the originals, where eerie and disturbing situations gradually spin out of control. 'A Quality of Mercy', 'Kick the Can', 'It's a Good Life', and 'Nightmare at 20,000 Feet'.",1983-06-24
10172,"Are We Done Yet?",https://image.tmdb.org/t/p/w1280/uZ9NZh4zB80phMxo5PucFyWagjG.jpg,"Newlyweds Nick and Suzanne decide to move to the suburbs to provide a better life for their two kids. But their idea of a dream home is disturbed by a contractor with a bizarre approach to business.",2007-04-04
39266,"Triumph of the Will",https://image.tmdb.org/t/p/w1280/uoOTQLnW6NRzjC2efJQRr6WMbum.jpg,"The propaganda film of the 1934 Nazi Party rally in Nuremberg, Germany",1935-03-28
13156,"Secondhand Lions",https://image.tmdb.org/t/p/w1280/tMH0MShJOceh77Vg30OECnFcEzY.jpg,"'Secondhand Lions' follows the comedic adventures of an introverted boy left on the doorstep of a pair of reluctant, eccentric great-uncles, whose exotic remembrances stir the boy's spirit and re-ignite the men's lives.",2003-09-19
25239,"I Spit on Your Grave",https://image.tmdb.org/t/p/w1280/vmox5ufWCHnfxbC8cgx6sbMqu6V.jpg,"An aspiring writer is repeatedly gang-raped, humiliated, and left for dead by four men whom she systematically hunts down to seek revenge.",1978-11-02
9101,"Down Periscope",https://image.tmdb.org/t/p/w1280/q6JEjedx4LoZRig8U1R5sJqBfti.jpg,"Bumbling Navy lieutenant Tom Dodge has been given one last chance to clean up his record. But Admiral Graham, his nemesis, assigns Dodge to the Stingray, a submarine that can barely keep afloat. To add insult to injury, the Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more incompetent that he is!",1996-03-01
37821,"Killers",https://image.tmdb.org/t/p/w1280/bQHs6vyYwvxYvWEIi1G9rk4qNdw.jpg,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",2010-06-04
17169,"Any Which Way You Can",https://image.tmdb.org/t/p/w1280/fGP1rB0MapjDyR0lCjYa6AhjQ1i.jpg,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come along and arrange another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde all add to the 'fun'.",1980-12-17
423899,"Victoria & Abdul",https://image.tmdb.org/t/p/w1280/a5vm7eBHLfBqaOMQUUAVxXmgmhA.jpg,"Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.",2017-09-14
9415,"Murder at 1600",https://image.tmdb.org/t/p/w1280/9xH3zr5QLqY0MyyEO584zBDbw6f.jpg,"A secretary is found dead in a White House bathroom during an international crisis, and Detective Harlan Regis is in charge of the investigation. Despite resistance from the Secret Service, Regis partners with agent Nina Chance. As political tensions rise, they learn that the crime could be part of an elaborate cover-up. Framed as traitors, the pair, plus Regis' partner, break into the White House in order to expose the true culprit.",1997-04-18
264656,"The Homesman",https://image.tmdb.org/t/p/w1280/wzOzeuWYIlRq7Eus1TWnHtYo304.jpg,"When three women living on the edge of the American frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded Mary Bee Cuddy. Transporting the women by covered wagon to Iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, George Briggs, to join her. The unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. But the group first must traverse the harsh Nebraska Territories marked by stark beauty, psychological peril and constant threat.",2014-05-18
433150,"The Invisible Boy: Second Generation",https://image.tmdb.org/t/p/w1280/2i2eTNuc0nxxlgY0f79v2fcoi7J.jpg,"Three years later Michele (The Invisible boy) meets his mother and his twin sister. Both have stories and superpowers but their intentions may not be what Michele thinks.",2018-01-04
9988,"Beerfest",https://image.tmdb.org/t/p/w1280/5srGbSv3zhEUjXFOZR9qHkgJO6l.jpg,"During a trip to Germany to scatter their grandfather's ashes, German-American brothers Todd and Jan discover Beerfest, the secret Olympics of downing stout, and want to enter the contest to defend their family's beer-guzzling honor. Their Old Country cousins sneer at the Yanks' chances, prompting the siblings to return to America to prepare for a showdown the following year.",2006-08-25
2013,"The Diving Bell and the Butterfly",https://image.tmdb.org/t/p/w1280/j9xijFBmOSitYXAMnO9X9QXZogD.jpg,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.",2007-05-23
47854,"Legend of the Fist: The Return of Chen Zhen",https://image.tmdb.org/t/p/w1280/V9mj3fk5hEdgCajzaynlToIUoO.jpg,"Seven years after the apparent death of Chen Zhen, who was shot after discovering who was responsible for his teacher's death (Huo Yuanjia) in Japanese-occupied Shanghai. A mysterious stranger arrives from overseas and befriends a local mafia boss. That man is a disguised Chen Zhen, who intends to infiltrate the mob when they form an alliance with the Japanese. Disguising himself as a caped fighter by night, Chen intends to take out everyone involved as well as get his hands on an assassination list prepared by the Japanese.",2010-09-01
157845,"The Rover",https://image.tmdb.org/t/p/w1280/ugVbrbicJHfOw8e24RUYISKqgvf.jpg,"10 years after a global economic collapse, a hardened loner pursues the men who stole his car through the lawless wasteland of the Australian outback, aided by the brother of one of the thieves.",2014-05-18
9666,"Ju-on: The Grudge 2",https://image.tmdb.org/t/p/w1280/wOOlAzOMo2sMoMoncCfiaNNv1xk.jpg,"While driving, the pregnant horror-movie actress Kyôko Harase and her fiancé are in a car crash caused by the Toshio's friend. Kyôko loses her baby and her fiancé winds up in a coma. Kyôko was cursed together with a television crew when they shot a show in the haunted house where Kayako was brutally murdered by her husband years ago.",2003-08-15
12501,"The Big Country",https://image.tmdb.org/t/p/w1280/udSibhOkN5dT4NZy9oN9EGprAmZ.jpg,"Retired wealthy sea captain Jim McKay arrives in the vast expanse of the West to marry fiancée Pat Terrill. McKay is a man whose values and approach to life are a mystery to the ranchers and ranch foreman Steve Leech takes an immediate dislike to him. Pat is spoiled, selfish and controlled by her wealthy father, Major Henry Terrill. The Major is involved in a ruthless civil war, over watering rights for cattle, with a rough hewn clan led by Rufus Hannassey. The land in question is owned by Julie Maragon and both Terrill and Hannassey want it.",1958-09-30
11314,"Koyaanisqatsi",https://image.tmdb.org/t/p/w1280/x1By5lN2SbC0w1Nz9r6DCyhWbTg.jpg,"Takes us to locations all around the US and shows us the heavy toll that modern technology is having on humans and the earth. The visual tone poem contains neither dialogue nor a vocalized narration: its tone is set by the juxtaposition of images and the exceptional music by Philip Glass.",1982-04-28
19185,"Night of the Living Dead",https://image.tmdb.org/t/p/w1280/isp4lCv08asTPNvv8Xe8oQK293n.jpg,"In this remake of the original classic film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.",1990-10-18
849,"Krull",https://image.tmdb.org/t/p/w1280/4gBMeO66KOXLyYfm1uri04a6kKG.jpg,"A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.",1983-07-29
71864,"The Odd Life of Timothy Green",https://image.tmdb.org/t/p/w1280/nwWtTWWOJIDU1mM3cBYvSURB03B.jpg,"A childless couple bury a box in their backyard, containing all of their wishes for an infant. Soon, a child is born, though Timothy Green is not all that he appears.",2012-08-15
215830,"Open Grave",https://image.tmdb.org/t/p/w1280/uO9pr6aMgHz8ofLrOAjHvhv7J3e.jpg,"A man awakes-- without memory -- in a pit full of bodies and must figure out if the people who rescued him are the killers, or if he is the murderer.",2013-08-13
